customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Country,State,City,ZipCode,LatLong,Latitude,Longitude,ChurnValue,ChurnScore,CLTV,ChurnReason
7590-VHVEG,Female,No,Yes,No,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,United States,California,Los Angeles,90001.0,"33.973616, -118.24902",33.973616,-118.24902,0.0,27.0,3964.0,
5575-GNVDE,Male,No,No,No,34.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,United States,California,Los Angeles,90002.0,"33.949255, -118.246978",33.949255,-118.246978,0.0,61.0,3441.0,
3668-QPYBK,Male,No,No,No,2.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,United States,California,Los Angeles,90003.0,"33.964131, -118.272783",33.964131,-118.272783,1.0,86.0,3239.0,Competitor made better offer
7795-CFOCW,Male,No,No,No,45.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,United States,California,Los Angeles,90004.0,"34.076259, -118.310715",34.076259,-118.310715,0.0,66.0,4307.0,
9237-HQITU,Female,No,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,United States,California,Los Angeles,90005.0,"34.059281, -118.30742",34.059281,-118.30742,1.0,67.0,2701.0,Moved
9305-CDSKC,Female,No,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,United States,California,Los Angeles,90006.0,"34.048013, -118.293953",34.048013,-118.293953,1.0,86.0,5372.0,Moved
1452-KIOVK,Male,No,No,Yes,22.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,United States,California,Los Angeles,90007.0,"34.027337, -118.28515",34.027337,-118.28515,0.0,43.0,4459.0,
6713-OKOMC,Female,No,No,No,10.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,United States,California,Los Angeles,90008.0,"34.008293, -118.346766",34.008293,-118.346766,0.0,51.0,2013.0,
7892-POOKP,Female,No,Yes,No,28.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,United States,California,Los Angeles,90010.0,"34.062125, -118.315709",34.062125,-118.315709,1.0,84.0,5003.0,Moved
6388-TABGU,Male,No,No,Yes,62.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,United States,California,Los Angeles,90011.0,"34.00709, -118.258681",34.00709,-118.258681,0.0,58.0,4529.0,
9763-GRSKD,Male,No,Yes,Yes,13.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,United States,California,Los Angeles,90012.0,"34.065875, -118.238728",34.065875,-118.238728,0.0,76.0,5764.0,
7469-LKBCI,Male,No,No,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,United States,California,Los Angeles,90013.0,"34.044639, -118.240413",34.044639,-118.240413,0.0,39.0,4726.0,
8091-TTVAX,Male,No,Yes,No,58.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,United States,California,Los Angeles,90014.0,"34.043144, -118.251977",34.043144,-118.251977,0.0,71.0,6432.0,
0280-XJGEX,Male,No,No,No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,United States,California,Los Angeles,90015.0,"34.039224, -118.266293",34.039224,-118.266293,1.0,89.0,5340.0,Competitor had better devices
5129-JLPIS,Male,No,No,No,25.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,United States,California,Los Angeles,90016.0,"34.028331, -118.354338",34.028331,-118.354338,0.0,75.0,5822.0,
3655-SNQYZ,Female,No,Yes,Yes,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,United States,California,Los Angeles,90017.0,"34.052842, -118.264495",34.052842,-118.264495,0.0,43.0,5141.0,
8191-XWSZG,Female,No,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,United States,California,Los Angeles,90018.0,"34.028735, -118.317236",34.028735,-118.317236,0.0,35.0,5186.0,
9959-WOFKT,Male,No,No,Yes,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,United States,California,Los Angeles,90019.0,"34.049841, -118.33846",34.049841,-118.33846,0.0,73.0,4479.0,
4190-MFLUW,Female,No,Yes,Yes,10.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,United States,California,Los Angeles,90020.0,"34.066367, -118.309868",34.066367,-118.309868,1.0,78.0,5925.0,Competitor offered higher download speeds
4183-MYFRB,Female,No,No,No,21.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,United States,California,Los Angeles,90021.0,"34.029043, -118.239504",34.029043,-118.239504,0.0,57.0,5982.0,
8779-QRDMV,Male,Yes,No,No,1.0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,United States,California,Los Angeles,90022.0,"34.02381, -118.156582",34.02381,-118.156582,1.0,100.0,5433.0,Competitor offered more data
1680-VDCWW,Male,No,Yes,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,United States,California,Los Angeles,90023.0,"34.017697, -118.200577",34.017697,-118.200577,0.0,77.0,5279.0,
1066-JKSGK,Male,No,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,United States,California,Los Angeles,90024.0,"34.066303, -118.435479",34.066303,-118.435479,1.0,92.0,4832.0,Competitor made better offer
3638-WEABW,Female,No,Yes,No,58.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,United States,California,Los Angeles,90025.0,"34.046174, -118.446333",34.046174,-118.446333,0.0,53.0,6407.0,
6322-HRPFA,Male,No,Yes,Yes,49.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,United States,California,Los Angeles,90026.0,"34.078991, -118.263804",34.078991,-118.263804,0.0,79.0,4986.0,
